iteration,scenario,raw_pr_auc,real_pct,raw_pct_detection,tn,fp,fn,tp,precision,avg_train_time,avg_score_time,min_score_time,max_score_time,min_train_time,max_train_time
0,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04335394836675342,0.02354855171124828,0.006598967011086643,0.11503482598345727,0.00014069699682295322,4.134032827976625
1,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.042450735478002266,0.023543173990744567,0.006440382043365389,0.03390883305110037,0.00013342197053134441,3.4170241330284625
2,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04314567969898538,0.023585828734378863,0.006408910034224391,0.03353099100058898,0.00012492999667301774,3.3041184319881722
3,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04273909204715719,0.023647238340525376,0.006425469997338951,0.031165626016445458,0.00012462498852983117,3.3145338100148365
4,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04307312436052598,0.023559672232465044,0.006361169973388314,0.031953829980921,0.00013414700515568256,3.276697650027927
5,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04246826998676018,0.023564645093699384,0.006131057976745069,0.0305145820020698,0.00012494903057813644,3.2914704179856926
6,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.042658524940100806,0.02357821705162115,0.0062053760048002005,0.13475047005340457,0.00013432500418275595,3.2743719780119136
7,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04275163769045667,0.023566446277670496,0.006526141951326281,0.03212777798762545,0.0001277569681406021,3.2766500400030054
8,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.042716487473849804,0.023532401132951714,0.006437655014451593,0.033115906990133226,0.0001265959581360221,3.2568212280166335
9,A6,0.9999613227329335,14.285714285714286,0.995,3480,0,3,597,1.0,0.04292278014946663,0.023591644927024997,0.006508871971163899,0.03436343703651801,0.0001275779795832932,3.244729244033806
0,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05832533689605216,0.02336970645170714,0.006364023021887988,0.9136175489984453,0.0001410210388712585,3.3504182229517028
1,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05784963889446642,0.02305853674660847,0.006497343012597412,0.04204947396647185,0.00012614799197763205,3.293013176007662
2,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05860739993229453,0.02301171513157897,0.006279974011704326,0.041509509028401226,0.00013512704754248261,3.3271475179935805
3,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.058727975710284055,0.022990890344330443,0.006398211000487208,0.03750551899429411,0.00020362396026030183,3.748351863003336
4,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05866322541404294,0.023087621010365964,0.00651644601020962,0.037620303977746516,0.00012677395716309547,3.2597136999829672
5,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05857684607962645,0.02296968239956879,0.006458855990786105,0.0380047740181908,0.00013242801651358604,3.2606337910401635
6,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05870091535090025,0.022995351983630653,0.0063206880004145205,0.03585540596395731,0.00012663600500673056,3.2564049259526655
7,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05847356624628273,0.02305880651568129,0.006449640961363912,0.03754373796982691,0.00013437599409371614,3.28123293799581
8,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.058410350109611285,0.023042728449883206,0.006503620010334998,0.03714766399934888,0.00012763001723214984,3.311261069960892
9,A1,0.9577297024898852,1.4285714285714286,0.9833333333333333,4019,1,1,59,0.9672131147540983,0.05863184172399564,0.02310703853960149,0.006513662985526025,0.037051345978397876,0.00012689700815826654,3.260279968031682
0,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03354095623403001,0.02529480725052833,0.006389582005795091,0.43355388700729236,0.00012551399413496256,3.298996285011526
1,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03368554779673494,0.02497173444171148,0.006510042992886156,0.12305367598310113,0.00013386597856879234,3.278435949003324
2,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03377646688973376,0.025055948602010696,0.006456426985096186,0.040169017971493304,0.00013115396723151207,3.2317787709762342
3,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03427557154426939,0.0251824132132987,0.006628611998166889,0.04149542504455894,0.00012804800644516945,3.3119859289727174
4,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.033664859713060734,0.025118963209776364,0.006342361972201616,0.041002124024089426,0.00013306696200743318,3.2540137919713743
5,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03326337638069942,0.025137504043065875,0.006398309022188187,0.04126533697126433,0.00013704202137887478,3.237906691036187
6,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.033444090802541245,0.025102145392267544,0.006388476002030075,0.040008109994232655,0.00012720096856355667,3.235820601985324
7,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.03372683395634383,0.02503954249704423,0.006480763957370073,0.04020277800736949,0.00012894097017124295,3.232004992023576
8,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.034001768037130765,0.024955168517966135,0.006523718999233097,0.03614335600286722,0.0001281769946217537,3.2530239489860833
9,A8,0.9997602726166283,7.142857142857143,0.99,3780,0,3,297,0.9966442953020134,0.033636701661896605,0.025044507191355696,0.006521689996588975,0.035793048969935626,0.0001258309930562973,3.2388901470112614
0,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028387734773485655,0.02447586291689991,0.006421259022317827,0.33176193200051785,0.00013447197852656245,3.306451514014043
1,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028325138120063847,0.024239316341242687,0.006398185039870441,0.03765830094926059,0.00012764299754053354,3.5271099420497194
2,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028626169711961188,0.024083636170959963,0.006443099002353847,0.03947792900726199,0.00013993901666253805,3.315010465972591
3,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028530507710737375,0.024223313986911393,0.006521155999507755,0.12675115099409595,0.00013878702884539962,3.3180135340080597
4,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028681277247045986,0.02435531225004178,0.006512253021355718,0.03783510602079332,0.00013484898954629898,3.293285026040394
5,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028295572520416628,0.024423018640386762,0.00657262495951727,0.03688958799466491,0.00013339199358597398,3.3199589420109987
6,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.02836116883550338,0.024281541947469426,0.006522143958136439,0.03962114098249003,0.0001250500208698213,3.319033092004247
7,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028484677876667343,0.024376671643542413,0.0063205769984051585,0.03938088001450524,0.00013496499741449952,3.321847371989861
8,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.028659551513334183,0.024113497037532006,0.006460173986852169,0.036415414011571556,0.0001251100329682231,3.300901636015624
9,A4,0.9301988810956131,1.4285714285714286,1.0,4019,1,0,60,0.9523809523809523,0.02843048057888934,0.02425294289886508,0.006223051983397454,0.03820294002071023,0.00013063999358564615,3.293747343006544
0,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.03354409834345071,0.02554871922060903,0.006262818991672248,0.5438621969660744,0.00012533704284578562,3.3393439519568346
1,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.033638290041084734,0.025263801999778176,0.0064429829944856465,0.12629674701020122,0.00013506098184734583,3.328507102036383
2,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.03409529455994267,0.025246051872035467,0.006193579989485443,0.03571949800243601,0.00012674799654632807,3.3229566200170666
3,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.0341323027977099,0.025121268783945456,0.006561363989021629,0.03475608897861093,0.00012550700921565294,3.3314304469968192
4,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.0340834217527022,0.025346913979516276,0.006179389951284975,0.038962754944805056,0.00013530103024095297,3.3352435269625857
5,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.03365732685224863,0.0252432584376601,0.006519649003166705,0.03730919602094218,0.0001397620071657002,3.318199931003619
6,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.03369266732570915,0.02528627711398128,0.006542177987284958,0.03522256301948801,0.00012570701073855162,3.3929449289571494
7,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.033853629033921084,0.02533533926292356,0.006390911992639303,0.03521933301817626,0.00012616795720532537,3.3189382829586975
8,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.034102737865857005,0.02531042859217407,0.0062906829989515245,0.1290677950019017,0.00012842199066653848,3.345372067997232
9,A5,0.999966758583721,7.142857142857143,1.0,3778,2,0,300,1.0,0.033906023287175534,0.02529561670752065,0.006597125029657036,0.036047570989467204,0.00012822001008316875,3.3342222300125286
0,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04310686750643765,0.025380263138906144,0.006627470022067428,0.5390158270020038,0.00012643705122172832,3.2968942210427485
1,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04249765613575056,0.025279296137658613,0.00651778100291267,0.565224529011175,0.0001246350002475083,3.381795671011787
2,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.044253280816039825,0.025289709325810518,0.006208201986737549,0.3426634200150147,0.00012551899999380112,3.881340963009279
3,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04302251468344669,0.025255766679904246,0.006482227996457368,0.5506468269741163,0.00012537901056930423,3.297741193033289
4,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04299402761823287,0.02523988440002237,0.006509019003715366,0.3446864599827677,0.0001250209752470255,3.3111707550124265
5,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04276031145169067,0.02533272356781665,0.006414267001673579,0.562753327016253,0.0001242529833689332,3.3144702009740286
6,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04257399544169727,0.025326384211685288,0.006553296989295632,0.45172773499507457,0.00012592197163030505,3.28836239798693
7,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.04325701302144721,0.025193967200840623,0.006478845025412738,0.3351629790267907,0.00012691097799688578,3.278562475054059
8,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.042847912333437266,0.02531612823505254,0.006520197028294206,0.35227562801446766,0.00013422704068943858,3.2616301869857125
9,A3,0.9994224900062336,14.285714285714286,1.0,3479,1,0,600,0.0,0.043044350787129676,0.025202195133107515,0.006487737002316862,0.5613357740221545,0.00014313001884147525,3.313973796030041
0,A9,0.9878804592450892,14.285714285714286,0.9933333333333333,3477,3,4,596,0.5,0.0396432615212758,0.027312340743817567,0.0064555820426903665,0.8724129300098866,0.00013405003119260073,3.241124347958248
